timestamp,id,rating,price,reviewsCount,beds,bathrooms,bedrooms,isSuperhost
"2023-08-07_17-42","712680930560078839",3.5,61,8,2,1.5,1,false
"2023-08-07_17-42","775967250872769286",4.58,150,19,1,1,0,true
"2023-08-07_17-42","675089063906234122",3.67,66,3,1,1,1,false
"2023-08-07_17-42","679491137006544063",,157,1,1,1,1,false
"2023-08-07_17-42","751917427436717495",,113,1,1,1,1,false
"2023-08-07_17-42","29330456",4.23,146,13,1,1,1,true
"2023-08-07_17-42","737095469217662657",4.5,53,12,1,1,1,false
"2023-08-07_17-42","909134200886352310",4.78,79,9,1,0.5,1,false
"2023-08-07_17-42","9171600",4.68,49,50,2,1,1,false
"2023-08-07_17-42","563837832132081096",4.97,539,38,2,2.5,3,true
"2023-08-07_17-42","593271107049526753",,72,2,1,1,1,false
"2023-08-07_17-42","789695697557271156",,374,2,2,2,2,false
"2023-08-07_17-42","900722207959994655",,201,0,2,1,2,false
"2023-08-07_17-42","607007628842731603",4.69,94,13,1,1,1,false
"2023-08-07_17-42","670259093980803412",3,103,3,2,1,1,false
"2023-08-07_17-42","35800034",5,161,5,0,2,1,false
"2023-08-07_17-42","10093174",4.61,128,18,2,1,0,false
"2023-08-07_17-42","720661266843033969",,128,0,8,1,3,false
"2023-08-07_17-42","16379921",4.55,222,22,4,2,2,false
"2023-08-07_17-42","911513348279190365",,361,0,3,3.5,3,false
"2023-08-07_17-42","49289146",4.66,127,35,1,1,1,false
"2023-08-07_17-42","700436264175104429",,124,2,1,1,1,false
"2023-08-07_17-42","4975295",4.82,1068,165,5,1,3,true
"2023-08-07_17-42","607002716040931633",4.29,94,7,1,1,1,false
"2023-08-07_17-42","43659627",4.73,46,15,0,1,1,false
"2023-08-07_17-42","1135017",4.82,1531,244,5,1,2,true
"2023-08-07_17-42","52928658",,101,1,1,1,1,false
"2023-08-07_17-42","28430744",4.57,146,14,23,10.5,10,false
"2023-08-07_17-42","738223953699753093",,494,2,8,4.5,5,false
"2023-08-07_17-42","45283136",,405,2,11,3,4,false
"2023-08-07_17-42","656923504438316317",5,177,3,1,1.5,1,false
